item_id,item_name,price
1,Rasgulla,347.79
6,"Gulab Jamun",565.55
8,"Fish Curry",597.90
9,"Fish Curry",537.12
12,"Hakka Noodles",383.34
16,Rasgulla,477.21
20,"Chicken 65",477.49
21,"Samosa Chaat",433.81
22,"Masala Dosa",587.04
23,Rasgulla,493.35
24,"Aloo Paratha",568.25
28,"Fish Curry",350.05
29,"Samosa Chaat",544.43
30,"Gulab Jamun",564.31
32,Momos,388.74
33,"Dal Tadka",356.82
36,"Kadai Paneer",383.53
37,"Butter Chicken",390.39
38,"Pav Bhaji",380.37
39,"Paneer Tikka",383.43
40,"Dal Tadka",407.09
46,"Samosa Chaat",558.67
47,"Paneer Tikka",447.00
48,"Hakka Noodles",371.66
49,"Fish Curry",353.25
51,"Gulab Jamun",364.06
52,"Chole Bhature",397.24
54,"Fried Rice",569.57
55,Momos,446.55
57,"Aloo Paratha",565.52
60,Rasgulla,576.40
63,"Chole Bhature",468.62
64,"Hakka Noodles",510.53
65,"Aloo Paratha",442.01
66,"Chicken Biryani",400.15
73,"Fish Curry",418.28
75,"Paneer Tikka",552.13
77,"Paneer Tikka",554.88
78,"Kadai Paneer",538.77
79,"Paneer Tikka",598.53
81,Momos,535.91
82,Momos,375.34
84,"Aloo Paratha",352.65
87,"Chicken 65",417.11
89,Momos,375.25
91,"Paneer Butter Masala",510.03
96,"Chicken 65",471.95
97,Momos,382.88
101,"Dal Tadka",560.02
102,Momos,438.95
104,"Fried Rice",577.83
107,"Fish Curry",473.82
108,"Hakka Noodles",476.17
109,"Samosa Chaat",534.03
117,"Chicken 65",500.52
118,"Masala Dosa",346.89
120,Momos,456.11
121,"Chole Bhature",504.56
122,"Hakka Noodles",380.72
124,"Aloo Paratha",596.94
126,"Idli Sambar",479.87
128,"Chicken 65",532.20
132,"Paneer Butter Masala",355.00
133,"Fried Rice",514.11
134,"Butter Chicken",588.82
139,"Kadai Paneer",399.76
144,"Hakka Noodles",472.28
146,"Fried Rice",504.21
151,"Idli Sambar",405.52
153,"Paneer Butter Masala",488.62
157,Momos,525.92
158,"Chicken 65",555.67
159,"Kadai Paneer",583.25
162,"Veg Biryani",559.56
163,"Veg Biryani",358.53
165,"Samosa Chaat",393.52
166,"Hakka Noodles",498.42
169,"Hakka Noodles",567.32
170,"Chicken Biryani",468.38
171,"Fish Curry",555.51
172,"Samosa Chaat",445.96
173,"Fried Rice",367.08
176,"Dal Tadka",539.06
177,"Chicken Biryani",497.46
178,"Fish Curry",476.05
180,"Paneer Tikka",372.51
182,"Pav Bhaji",381.15
185,"Fish Curry",366.33
190,"Paneer Tikka",352.45
191,"Paneer Tikka",477.46
192,"Masala Dosa",518.12
193,"Veg Biryani",447.73
194,"Hakka Noodles",342.98
195,"Paneer Tikka",401.27
196,"Samosa Chaat",554.63
199,"Dal Tadka",455.54
201,"Kadai Paneer",499.21
202,"Chicken Biryani",557.39
205,"Chole Bhature",493.37
206,Rasgulla,578.83
210,"Paneer Butter Masala",367.40
211,"Butter Chicken",445.48
212,"Fish Curry",519.57
213,"Gulab Jamun",374.25
214,"Dal Tadka",557.96
215,"Hakka Noodles",548.66
217,"Veg Biryani",435.90
218,"Aloo Paratha",373.03
219,"Idli Sambar",562.96
220,"Butter Chicken",579.96
221,"Masala Dosa",471.17
222,"Paneer Butter Masala",563.01
223,"Idli Sambar",373.26
224,"Paneer Butter Masala",432.06
226,"Masala Dosa",491.06
230,"Samosa Chaat",576.53
233,"Aloo Paratha",569.39
234,"Idli Sambar",433.44
236,Momos,494.99
238,"Paneer Butter Masala",450.07
239,"Masala Dosa",464.62
244,"Aloo Paratha",346.47
246,"Veg Biryani",390.40
248,"Paneer Butter Masala",485.17
249,"Aloo Paratha",550.71
250,"Pav Bhaji",350.97
