restaurant_id,rest_name,total_items,restaurant_size
1,"Fresh Hub",5,Medium
2,"Big Diner",3,Small
3,"Big Corner",5,Medium
4,"Royal Hub",2,Small
5,"Happy Garden",4,Small
6,"Tasty Bistro",6,Medium
7,"Big Table",5,Medium
8,"Royal Garden",4,Small
9,"Fresh Palace",4,Small
10,"Flavors Corner",6,Medium
11,"Golden Bistro",3,Small
12,"Royal Garden",3,Small
13,"Flavors Palace",3,Small
14,"Golden Garden",3,Small
15,"Golden Garden",7,Medium
16,"Royal Palace",6,Medium
17,"Fresh Palace",2,Small
18,"Little Palace",4,Small
19,"Golden Diner",1,Small
20,"Royal Corner",5,Medium
21,"Tasty Bistro",7,Medium
22,"Fresh Hub",6,Medium
23,"Happy Corner",7,Medium
24,"Flavors Kitchen",5,Medium
25,"Tasty Palace",5,Medium
26,"Fresh Caf̩",8,Medium
27,"Big Table",6,Medium
28,"Little Palace",2,Small
29,"Flavors Corner",2,Small
30,"Flavors Table",7,Medium
31,"Royal Grill",2,Small
32,"Spice Palace",2,Small
33,"Golden Kitchen",5,Medium
34,"Urban Corner",3,Small
35,"Tasty Diner",10,Medium
36,"Flavors Diner",9,Medium
37,"Golden Table",5,Medium
38,"Flavors Kitchen",4,Small
39,"Royal Kitchen",4,Small
40,"Happy Corner",4,Small
41,"Spice Palace",3,Small
42,"Happy Diner",4,Small
43,"Happy Grill",9,Medium
44,"Spice Garden",5,Medium
45,"Golden Garden",7,Medium
46,"Big Diner",7,Medium
47,"Spice Kitchen",12,Large
48,"Fresh Garden",6,Medium
49,"Happy Kitchen",7,Medium
50,"Little Corner",6,Medium
