customer_id,total_orders,customer_rank
336,10,1
28,9,2
154,8,3
176,8,3
7,7,5
72,7,5
120,7,5
135,7,5
138,7,5
180,7,5
184,7,5
352,7,5
477,7,5
496,7,5
5,6,15
21,6,15
26,6,15
49,6,15
56,6,15
68,6,15
86,6,15
142,6,15
150,6,15
188,6,15
189,6,15
191,6,15
213,6,15
282,6,15
289,6,15
302,6,15
306,6,15
311,6,15
332,6,15
349,6,15
350,6,15
353,6,15
361,6,15
389,6,15
436,6,15
439,6,15
452,6,15
486,6,15
3,5,43
11,5,43
20,5,43
35,5,43
47,5,43
50,5,43
70,5,43
71,5,43
83,5,43
87,5,43
102,5,43
103,5,43
109,5,43
116,5,43
128,5,43
129,5,43
136,5,43
139,5,43
145,5,43
146,5,43
151,5,43
155,5,43
157,5,43
162,5,43
163,5,43
170,5,43
193,5,43
199,5,43
250,5,43
256,5,43
262,5,43
265,5,43
268,5,43
269,5,43
272,5,43
321,5,43
323,5,43
325,5,43
328,5,43
351,5,43
376,5,43
378,5,43
384,5,43
400,5,43
403,5,43
412,5,43
422,5,43
426,5,43
428,5,43
430,5,43
435,5,43
459,5,43
460,5,43
490,5,43
494,5,43
4,4,98
10,4,98
16,4,98
22,4,98
24,4,98
53,4,98
55,4,98
59,4,98
60,4,98
69,4,98
75,4,98
80,4,98
81,4,98
82,4,98
85,4,98
90,4,98
104,4,98
113,4,98
115,4,98
119,4,98
122,4,98
130,4,98
131,4,98
141,4,98
153,4,98
158,4,98
161,4,98
165,4,98
166,4,98
167,4,98
174,4,98
178,4,98
179,4,98
192,4,98
195,4,98
196,4,98
201,4,98
203,4,98
204,4,98
207,4,98
219,4,98
225,4,98
232,4,98
234,4,98
235,4,98
236,4,98
238,4,98
242,4,98
243,4,98
248,4,98
274,4,98
275,4,98
277,4,98
279,4,98
281,4,98
285,4,98
287,4,98
291,4,98
304,4,98
312,4,98
315,4,98
316,4,98
318,4,98
329,4,98
337,4,98
345,4,98
358,4,98
360,4,98
364,4,98
372,4,98
373,4,98
374,4,98
392,4,98
393,4,98
402,4,98
406,4,98
410,4,98
411,4,98
418,4,98
425,4,98
429,4,98
432,4,98
442,4,98
443,4,98
451,4,98
453,4,98
454,4,98
458,4,98
493,4,98
498,4,98
500,4,98
1,3,189
8,3,189
12,3,189
14,3,189
30,3,189
31,3,189
34,3,189
37,3,189
41,3,189
43,3,189
46,3,189
51,3,189
52,3,189
64,3,189
74,3,189
89,3,189
93,3,189
96,3,189
97,3,189
106,3,189
114,3,189
117,3,189
118,3,189
132,3,189
147,3,189
149,3,189
156,3,189
185,3,189
202,3,189
209,3,189
211,3,189
214,3,189
215,3,189
217,3,189
221,3,189
228,3,189
229,3,189
244,3,189
246,3,189
247,3,189
249,3,189
252,3,189
258,3,189
264,3,189
266,3,189
276,3,189
284,3,189
288,3,189
294,3,189
295,3,189
300,3,189
305,3,189
308,3,189
310,3,189
317,3,189
327,3,189
331,3,189
338,3,189
341,3,189
357,3,189
359,3,189
365,3,189
370,3,189
371,3,189
380,3,189
382,3,189
383,3,189
396,3,189
397,3,189
408,3,189
419,3,189
423,3,189
441,3,189
448,3,189
450,3,189
455,3,189
464,3,189
469,3,189
471,3,189
475,3,189
479,3,189
481,3,189
483,3,189
489,3,189
497,3,189
499,3,189
2,2,275
6,2,275
17,2,275
18,2,275
19,2,275
23,2,275
25,2,275
27,2,275
29,2,275
39,2,275
44,2,275
45,2,275
54,2,275
57,2,275
61,2,275
62,2,275
66,2,275
73,2,275
78,2,275
79,2,275
88,2,275
92,2,275
94,2,275
